NUTS1,name,date,mobility_change,mobility_change_7day_average
DE1,Baden-Württemberg,2020-02-01,0.0821,
DE1,Baden-Württemberg,2020-02-02,0.0239,
DE1,Baden-Württemberg,2020-02-03,0.0709,
DE1,Baden-Württemberg,2020-02-04,0.0790,0.0765
DE1,Baden-Württemberg,2020-02-05,0.0883,0.0788
DE1,Baden-Württemberg,2020-02-06,0.0876,0.0864
DE1,Baden-Württemberg,2020-02-07,0.1034,0.0698
DE1,Baden-Württemberg,2020-02-08,0.0981,0.0712
DE1,Baden-Württemberg,2020-02-09,0.0777,0.0690
DE1,Baden-Württemberg,2020-02-10,-0.0452,0.0668
DE1,Baden-Württemberg,2020-02-11,0.0888,0.0680
DE1,Baden-Württemberg,2020-02-12,0.0728,0.0720
DE1,Baden-Württemberg,2020-02-13,0.0723,0.0837
DE1,Baden-Württemberg,2020-02-14,0.1117,0.1011
DE1,Baden-Württemberg,2020-02-15,0.1261,0.1042
DE1,Baden-Württemberg,2020-02-16,0.1593,0.1065
DE1,Baden-Württemberg,2020-02-17,0.0769,0.1081
DE1,Baden-Württemberg,2020-02-18,0.1101,0.1001
DE1,Baden-Württemberg,2020-02-19,0.0889,0.0940
DE1,Baden-Württemberg,2020-02-20,0.0834,0.0770
DE1,Baden-Württemberg,2020-02-21,0.0557,0.0601
DE1,Baden-Württemberg,2020-02-22,0.0838,0.0363
DE1,Baden-Württemberg,2020-02-23,0.0399,0.0163
DE1,Baden-Württemberg,2020-02-24,-0.0412,-0.0041
DE1,Baden-Württemberg,2020-02-25,-0.0564,-0.0132
DE1,Baden-Württemberg,2020-02-26,-0.0508,-0.0221
DE1,Baden-Württemberg,2020-02-27,-0.0598,-0.0245
DE1,Baden-Württemberg,2020-02-28,-0.0080,-0.0105
DE1,Baden-Württemberg,2020-02-29,0.0220,0.0053
DE1,Baden-Württemberg,2020-03-01,0.0230,0.0206
DE1,Baden-Württemberg,2020-03-02,0.0568,0.0341
DE1,Baden-Württemberg,2020-03-03,0.0538,0.0411
DE1,Baden-Württemberg,2020-03-04,0.0566,0.0418
DE1,Baden-Württemberg,2020-03-05,0.0347,0.0497
DE1,Baden-Württemberg,2020-03-06,0.0410,0.0541
DE1,Baden-Württemberg,2020-03-07,0.0264,0.0479
DE1,Baden-Württemberg,2020-03-08,0.0785,0.0453
DE1,Baden-Württemberg,2020-03-09,0.0876,0.0459
DE1,Baden-Württemberg,2020-03-10,0.0105,0.0454
DE1,Baden-Württemberg,2020-03-11,0.0382,0.0294
DE1,Baden-Württemberg,2020-03-12,0.0391,0.0143
DE1,Baden-Württemberg,2020-03-13,0.0379,0.0043
DE1,Baden-Württemberg,2020-03-14,-0.0862,-0.0186
DE1,Baden-Württemberg,2020-03-15,-0.0270,-0.0500
DE1,Baden-Württemberg,2020-03-16,0.0176,-0.0874
DE1,Baden-Württemberg,2020-03-17,-0.1496,-0.1301
DE1,Baden-Württemberg,2020-03-18,-0.1815,-0.1871
DE1,Baden-Württemberg,2020-03-19,-0.2227,-0.2450
DE1,Baden-Württemberg,2020-03-20,-0.2611,-0.2931
DE1,Baden-Württemberg,2020-03-21,-0.4855,-0.3208
DE1,Baden-Württemberg,2020-03-22,-0.4322,-0.3456
DE1,Baden-Württemberg,2020-03-23,-0.3188,-0.3644
DE1,Baden-Württemberg,2020-03-24,-0.3435,-0.3744
DE1,Baden-Württemberg,2020-03-25,-0.3555,-0.3530
DE1,Baden-Württemberg,2020-03-26,-0.3541,-0.3707
DE1,Baden-Württemberg,2020-03-27,-0.3312,-0.3688
DE1,Baden-Württemberg,2020-03-28,-0.3360,-0.3653
DE1,Baden-Württemberg,2020-03-29,-0.5560,-0.3564
DE1,Baden-Württemberg,2020-03-30,-0.3057,-0.3459
DE1,Baden-Württemberg,2020-03-31,-0.3184,-0.3327
DE1,Baden-Württemberg,2020-04-01,-0.2934,-0.3286
DE1,Baden-Württemberg,2020-04-02,-0.2810,-0.2886
DE1,Baden-Württemberg,2020-04-03,-0.2389,-0.2756
DE1,Baden-Württemberg,2020-04-04,-0.3071,-0.2737
DE1,Baden-Württemberg,2020-04-05,-0.2756,-0.2701
DE1,Baden-Württemberg,2020-04-06,-0.2150,-0.2642
DE1,Baden-Württemberg,2020-04-07,-0.3053,-0.3002
DE1,Baden-Württemberg,2020-04-08,-0.2681,-0.2903
DE1,Baden-Württemberg,2020-04-09,-0.2397,-0.2871
DE1,Baden-Württemberg,2020-04-10,-0.4909,-0.3312
DE1,Baden-Württemberg,2020-04-11,-0.2373,-0.3283
DE1,Baden-Württemberg,2020-04-12,-0.2536,-0.3241
DE1,Baden-Württemberg,2020-04-13,-0.5236,-0.3217
DE1,Baden-Württemberg,2020-04-14,-0.2847,-0.2732
DE1,Baden-Württemberg,2020-04-15,-0.2390,-0.2740
DE1,Baden-Württemberg,2020-04-16,-0.2230,-0.2688
DE1,Baden-Württemberg,2020-04-17,-0.1509,-0.2171
DE1,Baden-Württemberg,2020-04-18,-0.2429,-0.2079
DE1,Baden-Württemberg,2020-04-19,-0.2178,-0.1986
DE1,Baden-Württemberg,2020-04-20,-0.1614,-0.1930
DE1,Baden-Württemberg,2020-04-21,-0.2200,-0.1872
DE1,Baden-Württemberg,2020-04-22,-0.1740,-0.1791
DE1,Baden-Württemberg,2020-04-23,-0.1841,-0.1743
DE1,Baden-Württemberg,2020-04-24,-0.1103,-0.1701
DE1,Baden-Württemberg,2020-04-25,-0.1860,-0.1711
DE1,Baden-Württemberg,2020-04-26,-0.1843,-0.1745
DE1,Baden-Württemberg,2020-04-27,-0.1320,-0.1734
DE1,Baden-Württemberg,2020-04-28,-0.2268,-0.2405
DE1,Baden-Württemberg,2020-04-29,-0.1979,-0.2469
DE1,Baden-Württemberg,2020-04-30,-0.1766,-0.2511
DE1,Baden-Württemberg,2020-05-01,-0.5797,-0.2591
DE1,Baden-Württemberg,2020-05-02,-0.2307,-0.2526
DE1,Baden-Württemberg,2020-05-03,-0.2139,-0.2407
DE1,Baden-Württemberg,2020-05-04,-0.1879,-0.2293
DE1,Baden-Württemberg,2020-05-05,-0.1818,-0.1676
DE1,Baden-Württemberg,2020-05-06,-0.1145,-0.1554
DE1,Baden-Württemberg,2020-05-07,-0.0964,-0.1444
DE1,Baden-Württemberg,2020-05-08,-0.1480,-0.1517
DE1,Baden-Württemberg,2020-05-09,-0.1453,-0.1470
DE1,Baden-Württemberg,2020-05-10,-0.1373,-0.1538
DE1,Baden-Württemberg,2020-05-11,-0.2389,-0.1549
DE1,Baden-Württemberg,2020-05-12,-0.1486,-0.1539
DE1,Baden-Württemberg,2020-05-13,-0.1620,-0.1460
DE1,Baden-Württemberg,2020-05-14,-0.1045,-0.1392
DE1,Baden-Württemberg,2020-05-15,-0.1408,-0.1169
DE1,Baden-Württemberg,2020-05-16,-0.0901,-0.1067
DE1,Baden-Württemberg,2020-05-17,-0.0896,-0.0826
DE1,Baden-Württemberg,2020-05-18,-0.0829,-0.1096
DE1,Baden-Württemberg,2020-05-19,-0.0768,-0.1111
DE1,Baden-Württemberg,2020-05-20,0.0065,-0.1285
DE1,Baden-Württemberg,2020-05-21,-0.2933,-0.1289
DE1,Baden-Württemberg,2020-05-22,-0.1519,-0.1306
DE1,Baden-Württemberg,2020-05-23,-0.2113,-0.1313
DE1,Baden-Württemberg,2020-05-24,-0.0925,-0.1351
DE1,Baden-Württemberg,2020-05-25,-0.0949,-0.0947
DE1,Baden-Württemberg,2020-05-26,-0.0820,-0.0808
DE1,Baden-Württemberg,2020-05-27,-0.0199,-0.0534
DE1,Baden-Württemberg,2020-05-28,-0.0103,-0.0403
DE1,Baden-Württemberg,2020-05-29,-0.0548,-0.0649
DE1,Baden-Württemberg,2020-05-30,-0.0196,-0.0665
DE1,Baden-Württemberg,2020-05-31,-0.0006,-0.0822
DE1,Baden-Württemberg,2020-06-01,-0.2673,-0.0944
DE1,Baden-Württemberg,2020-06-02,-0.0927,-0.1076
DE1,Baden-Württemberg,2020-06-03,-0.1304,-0.1263
DE1,Baden-Württemberg,2020-06-04,-0.0952,-0.1545
DE1,Baden-Württemberg,2020-06-05,-0.1472,-0.1195
DE1,Baden-Württemberg,2020-06-06,-0.1508,-0.1290
DE1,Baden-Württemberg,2020-06-07,-0.1980,-0.1281
DE1,Baden-Württemberg,2020-06-08,-0.0225,-0.1667
DE1,Baden-Württemberg,2020-06-09,-0.1587,-0.1585
DE1,Baden-Württemberg,2020-06-10,-0.1242,-0.1465
DE1,Baden-Württemberg,2020-06-11,-0.3657,-0.1585
DE1,Baden-Württemberg,2020-06-12,-0.0900,-0.1543
DE1,Baden-Württemberg,2020-06-13,-0.0667,-0.1421
DE1,Baden-Württemberg,2020-06-14,-0.2821,-0.1388
DE1,Baden-Württemberg,2020-06-15,0.0075,-0.0803
DE1,Baden-Württemberg,2020-06-16,-0.0735,-0.0733
DE1,Baden-Württemberg,2020-06-17,-0.1013,-0.0666
DE1,Baden-Württemberg,2020-06-18,0.0438,-0.0248
DE1,Baden-Württemberg,2020-06-19,-0.0410,-0.0174
DE1,Baden-Württemberg,2020-06-20,-0.0200,-0.0102
DE1,Baden-Württemberg,2020-06-21,0.0109,0.0011
DE1,Baden-Württemberg,2020-06-22,0.0592,-0.0024
DE1,Baden-Württemberg,2020-06-23,-0.0230,-0.0074
DE1,Baden-Württemberg,2020-06-24,-0.0221,-0.0064
DE1,Baden-Württemberg,2020-06-25,0.0189,-0.0216
DE1,Baden-Württemberg,2020-06-26,-0.0759,-0.0219
DE1,Baden-Württemberg,2020-06-27,-0.0127,-0.0208
DE1,Baden-Württemberg,2020-06-28,-0.0955,-0.0167
DE1,Baden-Württemberg,2020-06-29,0.0570,-0.0254
DE1,Baden-Württemberg,2020-06-30,-0.0153,-0.0176
DE1,Baden-Württemberg,2020-07-01,0.0065,-0.0157
DE1,Baden-Württemberg,2020-07-02,-0.0416,0.0039
DE1,Baden-Württemberg,2020-07-03,-0.0214,-0.0062
DE1,Baden-Württemberg,2020-07-04,0.0004,-0.0005
DE1,Baden-Württemberg,2020-07-05,0.0416,-0.0024
DE1,Baden-Württemberg,2020-07-06,-0.0133,0.0027
DE1,Baden-Württemberg,2020-07-07,0.0244,0.0019
DE1,Baden-Württemberg,2020-07-08,-0.0068,0.0001
DE1,Baden-Württemberg,2020-07-09,-0.0062,0.0073
DE1,Baden-Württemberg,2020-07-10,-0.0271,0.0096
DE1,Baden-Württemberg,2020-07-11,-0.0123,0.0090
DE1,Baden-Württemberg,2020-07-12,0.0924,0.0025
DE1,Baden-Württemberg,2020-07-13,0.0025,-0.0071
DE1,Baden-Württemberg,2020-07-14,0.0205,-0.0095
DE1,Baden-Württemberg,2020-07-15,-0.0524,-0.0072
DE1,Baden-Württemberg,2020-07-16,-0.0737,-0.0077
DE1,Baden-Württemberg,2020-07-17,-0.0433,-0.0086
DE1,Baden-Württemberg,2020-07-18,0.0035,-0.0261
DE1,Baden-Württemberg,2020-07-19,0.0890,-0.0184
DE1,Baden-Württemberg,2020-07-20,-0.0037,-0.0084
DE1,Baden-Württemberg,2020-07-21,-0.1020,-0.0053
DE1,Baden-Württemberg,2020-07-22,0.0011,-0.0040
DE1,Baden-Württemberg,2020-07-23,-0.0033,-0.0170
DE1,Baden-Württemberg,2020-07-24,-0.0216,-0.0139
DE1,Baden-Württemberg,2020-07-25,0.0123,0.0048
DE1,Baden-Württemberg,2020-07-26,-0.0015,0.0095
DE1,Baden-Württemberg,2020-07-27,0.0180,0.0067
DE1,Baden-Württemberg,2020-07-28,0.0285,0.0035
DE1,Baden-Württemberg,2020-07-29,0.0342,0.0070
DE1,Baden-Württemberg,2020-07-30,-0.0228,-0.0116
DE1,Baden-Württemberg,2020-07-31,-0.0441,-0.0165
DE1,Baden-Württemberg,2020-08-01,0.0364,-0.0203
