date,week,mobility_change,mobility_change_7day_average,mobility_change_weekly
2020-02-01,5,0.0324,0.0933,0.0111
2020-02-02,5,-0.0182,0.0764,0.0111
2020-02-03,6,0.0214,0.0742,0.0289
2020-02-04,6,0.0296,0.0546,0.0289
2020-02-05,6,0.0491,0.0489,0.0289
2020-02-06,6,0.0322,0.0387,0.0289
2020-02-07,6,0.0508,0.0282,0.0289
2020-02-08,6,0.0453,0.0301,0.0289
2020-02-09,6,-0.0589,0.0242,0.0289
2020-02-10,7,-0.0957,0.0075,0.0167
2020-02-11,7,0.0317,0.0078,0.0167
2020-02-12,7,0.0274,0.0047,0.0167
2020-02-13,7,0.0175,0.0026,0.0167
2020-02-14,7,0.0548,0.0032,0.0167
2020-02-15,7,0.0662,0.0061,0.0167
2020-02-16,7,0.0234,0.0179,0.0167
2020-02-17,8,0.0417,0.0375,0.0303
2020-02-18,8,0.0527,0.0405,0.0303
2020-02-19,8,0.0384,0.0421,0.0303
2020-02-20,8,0.0289,0.0437,0.0303
2020-02-21,8,0.0265,0.0397,0.0303
2020-02-22,8,0.0308,0.0346,0.0303
2020-02-23,8,-0.0308,0.0269,0.0303
2020-02-24,9,-0.0482,0.0140,-0.0047
2020-02-25,9,-0.0178,0.0040,-0.0047
2020-02-26,9,-0.0062,-0.0024,-0.0047
2020-02-27,9,-0.0054,-0.0073,-0.0047
2020-02-28,9,0.0292,-0.0069,-0.0047
2020-02-29,9,0.0197,-0.0085,-0.0047
2020-03-01,9,0.0005,-0.0040,-0.0047
2020-03-02,10,0.0180,0.0054,0.0095
2020-03-03,10,0.0071,0.0090,0.0095
2020-03-04,10,0.0181,0.0125,0.0095
2020-03-05,10,0.0074,0.0143,0.0095
2020-03-06,10,-0.0010,0.0100,0.0095
2020-03-07,10,-0.0035,0.0067,0.0095
2020-03-08,10,0.0258,0.0103,0.0095
2020-03-09,11,0.0505,0.0149,-0.0221
2020-03-10,11,-0.0243,0.0104,-0.0221
2020-03-11,11,-0.0097,0.0065,-0.0221
